Vehicle_Make_and_Model,Calendar_Year,count,per_1K,prop_num_change,rank,previous_rank
Hyundai Tucson PHEV,2023,117,6.1000000000000005,,26.0,12.0
Jeep Wrangler 4xe,2022,2593,45.0,,6.0,
Jeep Wrangler 4xe,2023,720,37.3,,9.0,6.0
Kia EV6,2022,1341,23.3,,15.0,
Kia EV6,2023,306,15.9,,16.0,15.0
Kia Niro EV,2019,487,14.5,-6.9,14.0,
Kia Niro EV,2020,873,22.4,-6.9,13.0,14.0
Kia Niro EV,2021,2297,42.1,-6.9,6.0,13.0
Kia Niro EV,2022,438,7.6,-6.9,26.0,6.0
Kia Niro EV,2023,26,1.3,-6.9,35.0,26.0
Kia Niro PHEV,2019,768,22.8,-15.100000000000001,12.0,
Kia Niro PHEV,2020,912,23.400000000000002,-15.100000000000001,12.0,12.0
Kia Niro PHEV,2021,1111,20.400000000000002,-15.100000000000001,13.0,12.0
Kia Niro PHEV,2022,445,7.7,-15.100000000000001,25.0,13.0
Kia Niro PHEV,2023,10,0.5,-15.100000000000001,38.0,25.0
Kia Optima PHEV,2019,155,4.6,,18.0,
Kia Optima PHEV,2020,20,0.5,,23.0,18.0
Kia Optima PHEV,2021,4,0.1,,31.0,23.0
Kia Sorento PHEV,2021,216,4.0,,25.0,
Kia Sorento PHEV,2022,370,6.4,,29.0,25.0
Kia Sorento PHEV,2023,132,6.8,,24.0,29.0
Kia Soul EV,2019,960,28.6,-17.200000000000003,10.0,
Kia Soul EV,2020,999,25.6,-17.200000000000003,11.0,10.0
Kia Soul EV,2021,1214,22.3,-17.200000000000003,12.0,11.0
Kia Soul EV,2022,656,11.4,-17.200000000000003,23.0,12.0
Kia Soul EV,2023,108,5.6,-17.200000000000003,27.0,23.0
Kia Sportage,2022,36,0.6,,40.0,
Kia Sportage,2023,64,3.3,,30.0,40.0
Lexus NX 450h+,2022,387,6.7,,28.0,
Lexus NX 450h+,2023,270,14.0,,19.0,28.0
Lincoln Corsair,2022,236,4.1000000000000005,,34.0,
Lincoln Corsair,2023,51,2.6,,31.0,34.0
MINI 3 Door,2020,263,6.7,,17.0,
MINI 3 Door,2021,488,9.0,,19.0,17.0
MINI 3 Door,2022,828,14.4,,20.0,19.0
MINI 3 Door,2023,105,5.4,,28.0,20.0
MINI Countryman,2019,61,1.8,-0.40000000000000013,22.0,
MINI Countryman,2020,126,3.2,-0.40000000000000013,19.0,22.0
MINI Countryman,2021,129,2.4,-0.40000000000000013,26.0,19.0
MINI Countryman,2022,82,1.4,-0.40000000000000013,37.0,26.0
MINI Countryman,2023,7,0.4,-0.40000000000000013,40.0,37.0
MINI Countryman All4,2022,100,1.7,,36.0,
MINI Countryman All4,2023,42,2.2,,32.0,36.0
Mazda MX-30,2021,79,1.4,,29.0,
Mazda MX-30,2022,781,13.6,,21.0,29.0
Mazda MX-30,2023,99,5.1000000000000005,,29.0,21.0
Mitsubishi Outlander PHEV,2019,2650,78.8,-51.5,4.0,
Mitsubishi Outlander PHEV,2020,2421,62.0,-51.5,5.0,4.0
Mitsubishi Outlander PHEV,2021,1971,36.2,-51.5,7.0,5.0
Mitsubishi Outlander PHEV,2022,1570,27.3,-51.5,11.0,7.0
Mitsubishi Outlander PHEV,2023,1911,99.0,-51.5,3.0,11.0
Mitsubishi i-MiEV,2021,1,0.0,,34.0,
Nissan Ariya,2023,273,14.1,,18.0,
Nissan Leaf,2019,2222,66.10000000000001,-40.60000000000001,5.0,
Nissan Leaf,2020,1498,38.4,-40.60000000000001,7.0,5.0
Nissan Leaf,2021,1341,24.6,-40.60000000000001,10.0,7.0
Nissan Leaf,2022,1467,25.5,-40.60000000000001,14.0,10.0
Nissan Leaf,2023,419,21.7,-40.60000000000001,14.0,14.0
Polestar 2,2022,1301,22.599999999999998,,16.0,
Polestar 2,2023,573,29.7,,10.0,16.0
Smart Electric,2019,176,5.2,,16.0,
Smart Electric,2020,11,0.3,,25.0,16.0
Smart Electric,2021,11,0.2,,30.0,25.0
Subaru Crosstrek Plug-In Hybrid,2020,244,6.3,,18.0,
Subaru Crosstrek Plug-In Hybrid,2021,360,6.6,,22.0,18.0
Subaru Crosstrek Plug-In Hybrid,2022,265,4.6,,32.0,22.0
Subaru Crosstrek Plug-In Hybrid,2023,25,1.3,,36.0,32.0
Subaru Solterra,2022,73,1.3,,38.0,
Subaru Solterra,2023,325,16.8,,15.0,38.0
Tesla Model 3,2019,8533,253.9,-64.30000000000001,1.0,
Tesla Model 3,2020,10935,280.2,-64.30000000000001,1.0,1.0
Tesla Model 3,2021,15841,290.6,-64.30000000000001,1.0,1.0
Tesla Model 3,2022,10915,189.6,-64.30000000000001,1.0,1.0
Tesla Model 3,2023,3726,193.0,-64.30000000000001,1.0,1.0
Toyota Mirai,2022,10,0.2,,45.0,
Toyota Mirai,2023,1,0.1,,45.0,45.0
Toyota Prius Prime,2019,5346,159.1,-114.5,2.0,
Toyota Prius Prime,2020,4747,121.7,-114.5,2.0,2.0
Toyota Prius Prime,2021,5191,95.2,-114.5,3.0,2.0
Toyota Prius Prime,2022,2568,44.6,-114.5,7.0,3.0
Toyota Prius Prime,2023,198,10.3,-114.5,22.0,7.0
Toyota RAV4 Prime,2020,845,21.7,,14.0,
Toyota RAV4 Prime,2021,3982,73.0,,4.0,14.0
Toyota RAV4 Prime,2022,1475,25.6,,13.0,4.0
Toyota RAV4 Prime,2023,916,47.4,,7.0,13.0
Toyota bZ4X,2022,389,6.8,,27.0,
Toyota bZ4X,2023,782,40.5,,8.0,27.0
Volkswagen ID.4,2021,399,7.3,,21.0,
Volkswagen ID.4,2022,1820,31.6,,10.0,21.0
Volkswagen ID.4,2023,1107,57.3,,5.0,10.0
Volkswagen e-Golf,2019,839,25.0,-24.9,11.0,
Volkswagen e-Golf,2020,1033,26.5,-24.9,10.0,11.0
Volkswagen e-Golf,2021,544,10.0,-24.9,18.0,10.0
Volkswagen e-Golf,2022,4,0.1,-24.9,47.0,18.0
Volkswagen e-Golf,2023,2,0.1,-24.9,42.0,47.0
Volvo C40,2022,341,5.8999999999999995,,30.0,
Volvo C40,2023,559,29.0,,12.0,30.0
Volvo C40 Recharge,2022,36,0.6,,40.0,
Volvo C40 Recharge,2023,12,0.6,,37.0,40.0
Volvo V60,2022,9,0.2,,46.0,
Volvo V60,2023,4,0.2,,41.0,46.0
Volvo V60 Recharge,2022,1,0.0,,48.0,
